Sample	Row	Col	Blank	Project Plate	Project Name	Compressed Plate Name
BLANK210.3F	L	5	TRUE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
BLANK210.3G	N	5	TRUE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
BLANK210.3H	P	5	TRUE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
7.26.21.RK.ST.1330	B	7	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
8.17.21.RK.ST.0900	D	7	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
7.21.21.RK.ST.1300	F	7	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
12.26.20.RK.ST.1000	H	7	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
8.18.21.RK.ST.1400	J	7	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
12.12.20.RK.ST.1100	L	7	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
7.26.21.RK.ST.0800	N	7	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
7.23.21.RK.ST.1300	P	7	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
12.26.20.RK.ST.1200	B	9	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
12.9.20.RK.ST.1500	D	9	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
7.28.21.RK.ST.1100	F	9	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
8.25.21.RK.ST.0900	H	9	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
12.14.20.RK.ST.0830	J	9	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
9.3.20.RK.ST.0900	L	9	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
12.28.20.RK.ST.1100	N	9	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
7.20.21.RK.ST.1400	P	9	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
12.13.20.RK.ST.1500	B	11	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
12.30.20.RK.ST.2200	D	11	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
7.17.21.RK.ST.1500	F	11	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
12.24.20.RK.ST.1000	H	11	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
8.17.21.RK.ST.1000	J	11	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
12.29.20.RK.ST.1400	L	11	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
12.17.20.RK.ST.1000	N	11	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
8.7.21.RK.ST.1700	P	11	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
7.27.21.RK.ST.0830	B	13	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
8.1.21.RK.ST.1700	D	13	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
7.18.21.RK.ST.0800	F	13	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
7.30.21.RK.ST.1000	H	13	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
12.31.20.RK.ST.2000	J	13	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
12.9.20.RK.ST.2330	L	13	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
8.11.21.RK.ST.0730	N	13	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
9.6.21.RK.ST.1500	P	13	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
7.19.21.RK.ST.1300	B	15	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
8.13.21.RK.ST.0700	D	15	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
7.14.21.RK.ST.2300	F	15	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
12.27.20.RK.ST.1200	H	15	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
12.16.20.RK.ST.1000	J	15	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
7.22.21.RK.ST.1400	L	15	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
12.29.20.RK.ST.1800	N	15	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
